start_time	end_time	consumption	provided_cost	start_minus_prev_end	end_minus_prev_end
2024-01-01 00:00:00-08:00	2024-01-01 01:00:00-08:00	0.377	0.06257069	None	None
2024-01-01 01:00:00-08:00	2024-01-01 02:00:00-08:00	0.355	0.05891935	0:00:00	1:00:00
2024-01-01 02:00:00-08:00	2024-01-01 03:00:00-08:00	0.352	0.05842144	0:00:00	1:00:00
2024-01-01 03:00:00-08:00	2024-01-01 04:00:00-08:00	1.268	0.21044996	0:00:00	1:00:00
2024-01-01 04:00:00-08:00	2024-01-01 05:00:00-08:00	0.365	0.06057905	0:00:00	1:00:00
2024-01-01 05:00:00-08:00	2024-01-01 06:00:00-08:00	0.326	0.05410622	0:00:00	1:00:00
2024-01-01 06:00:00-08:00	2024-01-01 07:00:00-08:00	0.312	0.05178264	0:00:00	1:00:00
2024-01-01 07:00:00-08:00	2024-01-01 08:00:00-08:00	6.21	1.0306737	0:00:00	1:00:00
2024-01-01 08:00:00-08:00	2024-01-01 09:00:00-08:00	5.602	0.92976394	0:00:00	1:00:00
2024-01-01 09:00:00-08:00	2024-01-01 10:00:00-08:00	4.402	0.73059994	0:00:00	1:00:00
2024-01-01 10:00:00-08:00	2024-01-01 11:00:00-08:00	0.566	0.09393902	0:00:00	1:00:00
2024-01-01 11:00:00-08:00	2024-01-01 12:00:00-08:00	0	0	0:00:00	1:00:00
2024-01-01 12:00:00-08:00	2024-01-01 13:00:00-08:00	0.235	0.03900295	0:00:00	1:00:00
2024-01-01 13:00:00-08:00	2024-01-01 14:00:00-08:00	0.141	0.02340177	0:00:00	1:00:00
2024-01-01 14:00:00-08:00	2024-01-01 15:00:00-08:00	0.61	0.1012417	0:00:00	1:00:00
2024-01-01 15:00:00-08:00	2024-01-01 16:00:00-08:00	0.943	0.15650971	0:00:00	1:00:00
2024-01-01 16:00:00-08:00	2024-01-01 17:00:00-08:00	2.692	0.44679124	0:00:00	1:00:00
2024-01-01 17:00:00-08:00	2024-01-01 18:00:00-08:00	2.996	0.49724612	0:00:00	1:00:00
2024-01-01 18:00:00-08:00	2024-01-01 19:00:00-08:00	3.54	0.5875338	0:00:00	1:00:00
2024-01-01 19:00:00-08:00	2024-01-01 20:00:00-08:00	3.992	0.66255224	0:00:00	1:00:00
2024-01-01 20:00:00-08:00	2024-01-01 21:00:00-08:00	1.615	0.26804155	0:00:00	1:00:00
2024-01-01 21:00:00-08:00	2024-01-01 22:00:00-08:00	2.254	0.37409638	0:00:00	1:00:00
2024-01-01 22:00:00-08:00	2024-01-01 23:00:00-08:00	4.594	0.76246618	0:00:00	1:00:00
2024-01-01 23:00:00-08:00	2024-01-02 00:00:00-08:00	4.709	0.78155273	0:00:00	1:00:00
2024-01-02 00:00:00-08:00	2024-01-02 01:00:00-08:00	0.862	0.14306614	0:00:00	1:00:00
2024-01-02 01:00:00-08:00	2024-01-02 02:00:00-08:00	0.3	0.049791	0:00:00	1:00:00
2024-01-02 02:00:00-08:00	2024-01-02 03:00:00-08:00	0.332	0.05510204	0:00:00	1:00:00
2024-01-02 03:00:00-08:00	2024-01-02 04:00:00-08:00	0.308	0.05111876	0:00:00	1:00:00
2024-01-02 04:00:00-08:00	2024-01-02 05:00:00-08:00	1.241	0.20596877	0:00:00	1:00:00
2024-01-02 05:00:00-08:00	2024-01-02 06:00:00-08:00	0.313	0.05194861	0:00:00	1:00:00
2024-01-02 06:00:00-08:00	2024-01-02 07:00:00-08:00	0.317	0.05261249	0:00:00	1:00:00
2024-01-02 07:00:00-08:00	2024-01-02 08:00:00-08:00	2.792	0.46338824	0:00:00	1:00:00
2024-01-02 08:00:00-08:00	2024-01-02 09:00:00-08:00	4.793	0.79549421	0:00:00	1:00:00
2024-01-02 09:00:00-08:00	2024-01-02 10:00:00-08:00	4.704	0.78072288	0:00:00	1:00:00
2024-01-02 10:00:00-08:00	2024-01-02 11:00:00-08:00	5.899	0.97905703	0:00:00	1:00:00
2024-01-02 11:00:00-08:00	2024-01-02 12:00:00-08:00	4.649	0.77159453	0:00:00	1:00:00
2024-01-02 12:00:00-08:00	2024-01-02 13:00:00-08:00	3.665	0.60828005	0:00:00	1:00:00
2024-01-02 13:00:00-08:00	2024-01-02 14:00:00-08:00	3.151	0.52297147	0:00:00	1:00:00
2024-01-02 14:00:00-08:00	2024-01-02 15:00:00-08:00	6.326	1.04992622	0:00:00	1:00:00
2024-01-02 15:00:00-08:00	2024-01-02 16:00:00-08:00	4.264	0.70769608	0:00:00	1:00:00
2024-01-02 16:00:00-08:00	2024-01-02 17:00:00-08:00	3.943	0.65441971	0:00:00	1:00:00
2024-01-02 17:00:00-08:00	2024-01-02 18:00:00-08:00	2.133	0.35401401	0:00:00	1:00:00
2024-01-02 18:00:00-08:00	2024-01-02 19:00:00-08:00	3.21	0.5327637	0:00:00	1:00:00
2024-01-02 19:00:00-08:00	2024-01-02 20:00:00-08:00	2.64	0.4381608	0:00:00	1:00:00
2024-01-02 20:00:00-08:00	2024-01-02 21:00:00-08:00	4.393	0.72910621	0:00:00	1:00:00
2024-01-02 21:00:00-08:00	2024-01-02 22:00:00-08:00	3.164	0.52512908	0:00:00	1:00:00
2024-01-02 22:00:00-08:00	2024-01-02 23:00:00-08:00	4.736	0.78603392	0:00:00	1:00:00
2024-01-02 23:00:00-08:00	2024-01-03 00:00:00-08:00	0.683	0.11335751	0:00:00	1:00:00
2024-01-03 00:00:00-08:00	2024-01-03 01:00:00-08:00	0.288	0.04779936	0:00:00	1:00:00
2024-01-03 01:00:00-08:00	2024-01-03 02:00:00-08:00	0.312	0.05178264	0:00:00	1:00:00
2024-01-03 02:00:00-08:00	2024-01-03 03:00:00-08:00	0.325	0.05394025	0:00:00	1:00:00
2024-01-03 03:00:00-08:00	2024-01-03 04:00:00-08:00	1.404	0.23302188	0:00:00	1:00:00
2024-01-03 04:00:00-08:00	2024-01-03 05:00:00-08:00	0.358	0.05941726	0:00:00	1:00:00
2024-01-03 05:00:00-08:00	2024-01-03 06:00:00-08:00	0.381	0.06323457	0:00:00	1:00:00
2024-01-03 06:00:00-08:00	2024-01-03 07:00:00-08:00	0.339	0.05626383	0:00:00	1:00:00
2024-01-03 07:00:00-08:00	2024-01-03 08:00:00-08:00	2.642	0.43849274	0:00:00	1:00:00
2024-01-03 08:00:00-08:00	2024-01-03 09:00:00-08:00	6.107	1.01357879	0:00:00	1:00:00
2024-01-03 09:00:00-08:00	2024-01-03 10:00:00-08:00	3.675	0.60993975	0:00:00	1:00:00
2024-01-03 10:00:00-08:00	2024-01-03 11:00:00-08:00	3.583	0.59467051	0:00:00	1:00:00
2024-01-03 11:00:00-08:00	2024-01-03 12:00:00-08:00	2.086	0.34621342	0:00:00	1:00:00
2024-01-03 12:00:00-08:00	2024-01-03 13:00:00-08:00	1.802	0.29907794	0:00:00	1:00:00
2024-01-03 13:00:00-08:00	2024-01-03 14:00:00-08:00	1.709	0.28364273	0:00:00	1:00:00
2024-01-03 14:00:00-08:00	2024-01-03 15:00:00-08:00	1.665	0.27634005	0:00:00	1:00:00
2024-01-03 15:00:00-08:00	2024-01-03 16:00:00-08:00	1.523	0.25277231	0:00:00	1:00:00
2024-01-03 16:00:00-08:00	2024-01-03 17:00:00-08:00	2.792	0.46338824	0:00:00	1:00:00
2024-01-03 17:00:00-08:00	2024-01-03 18:00:00-08:00	2.861	0.47484017	0:00:00	1:00:00
2024-01-03 18:00:00-08:00	2024-01-03 19:00:00-08:00	1.163	0.19302311	0:00:00	1:00:00
2024-01-03 19:00:00-08:00	2024-01-03 20:00:00-08:00	3.65	0.6057905	0:00:00	1:00:00
2024-01-03 20:00:00-08:00	2024-01-03 21:00:00-08:00	1.291	0.21426727	0:00:00	1:00:00
2024-01-03 21:00:00-08:00	2024-01-03 22:00:00-08:00	2.902	0.48164494	0:00:00	1:00:00
2024-01-03 22:00:00-08:00	2024-01-03 23:00:00-08:00	4.901	0.81341897	0:00:00	1:00:00
2024-01-03 23:00:00-08:00	2024-01-04 00:00:00-08:00	0.469	0.07783993	0:00:00	1:00:00
2024-01-04 00:00:00-08:00	2024-01-04 01:00:00-08:00	0.314	0.05211458	0:00:00	1:00:00
2024-01-04 01:00:00-08:00	2024-01-04 02:00:00-08:00	2.731	0.45326407	0:00:00	1:00:00
2024-01-04 02:00:00-08:00	2024-01-04 03:00:00-08:00	1.946	0.32297762	0:00:00	1:00:00
2024-01-04 03:00:00-08:00	2024-01-04 04:00:00-08:00	0.88	0.1460536	0:00:00	1:00:00
2024-01-04 04:00:00-08:00	2024-01-04 05:00:00-08:00	2.898	0.48098106	0:00:00	1:00:00
2024-01-04 05:00:00-08:00	2024-01-04 06:00:00-08:00	1.449	0.24049053	0:00:00	1:00:00
2024-01-04 06:00:00-08:00	2024-01-04 07:00:00-08:00	4.662	0.77375214	0:00:00	1:00:00
2024-01-04 07:00:00-08:00	2024-01-04 08:00:00-08:00	4.905	0.81408285	0:00:00	1:00:00
2024-01-04 08:00:00-08:00	2024-01-04 09:00:00-08:00	0.601	0.09974797	0:00:00	1:00:00
2024-01-04 09:00:00-08:00	2024-01-04 10:00:00-08:00	2.952	0.48994344	0:00:00	1:00:00
2024-01-04 10:00:00-08:00	2024-01-04 11:00:00-08:00	0.026	0.00431522	0:00:00	1:00:00
2024-01-04 11:00:00-08:00	2024-01-04 12:00:00-08:00	2.196	0.36447012	0:00:00	1:00:00
2024-01-04 12:00:00-08:00	2024-01-04 13:00:00-08:00	0.623	0.10339931	0:00:00	1:00:00
2024-01-04 13:00:00-08:00	2024-01-04 14:00:00-08:00	2.198	0.36480206	0:00:00	1:00:00
2024-01-04 14:00:00-08:00	2024-01-04 15:00:00-08:00	1.248	0.20713056	0:00:00	1:00:00
2024-01-04 15:00:00-08:00	2024-01-04 16:00:00-08:00	1.793	0.29758421	0:00:00	1:00:00
2024-01-04 16:00:00-08:00	2024-01-04 17:00:00-08:00	2.711	0.44994467	0:00:00	1:00:00
2024-01-04 17:00:00-08:00	2024-01-04 18:00:00-08:00	1.851	0.30721047	0:00:00	1:00:00
2024-01-04 18:00:00-08:00	2024-01-04 19:00:00-08:00	1.021	0.16945537	0:00:00	1:00:00
2024-01-04 19:00:00-08:00	2024-01-04 20:00:00-08:00	2.925	0.48546225	0:00:00	1:00:00
2024-01-04 20:00:00-08:00	2024-01-04 21:00:00-08:00	4.617	0.76628349	0:00:00	1:00:00
2024-01-04 21:00:00-08:00	2024-01-04 22:00:00-08:00	4.27	0.7086919	0:00:00	1:00:00
2024-01-04 22:00:00-08:00	2024-01-04 23:00:00-08:00	2.88	0.4779936	0:00:00	1:00:00
2024-01-04 23:00:00-08:00	2024-01-05 00:00:00-08:00	4.117	0.68329849	0:00:00	1:00:00
2024-01-05 00:00:00-08:00	2024-01-05 01:00:00-08:00	0.339	0.05626383	0:00:00	1:00:00
2024-01-05 01:00:00-08:00	2024-01-05 02:00:00-08:00	0.299	0.04962503	0:00:00	1:00:00
2024-01-05 02:00:00-08:00	2024-01-05 03:00:00-08:00	0.303	0.05028891	0:00:00	1:00:00
2024-01-05 03:00:00-08:00	2024-01-05 04:00:00-08:00	1.3	0.215761	0:00:00	1:00:00
2024-01-05 04:00:00-08:00	2024-01-05 05:00:00-08:00	0.315	0.05228055	0:00:00	1:00:00
2024-01-05 05:00:00-08:00	2024-01-05 06:00:00-08:00	0.31	0.0514507	0:00:00	1:00:00
2024-01-05 06:00:00-08:00	2024-01-05 07:00:00-08:00	6.0	0.99582	0:00:00	1:00:00
2024-01-05 07:00:00-08:00	2024-01-05 08:00:00-08:00	5.138	0.85275386	0:00:00	1:00:00
2024-01-05 08:00:00-08:00	2024-01-05 09:00:00-08:00	5.728	0.95067616	0:00:00	1:00:00
2024-01-05 09:00:00-08:00	2024-01-05 10:00:00-08:00	3.597	0.59699409	0:00:00	1:00:00
2024-01-05 10:00:00-08:00	2024-01-05 11:00:00-08:00	1.897	0.31484509	0:00:00	1:00:00
2024-01-05 11:00:00-08:00	2024-01-05 12:00:00-08:00	1.099	0.18240103	0:00:00	1:00:00
2024-01-05 12:00:00-08:00	2024-01-05 13:00:00-08:00	1.155	0.19169535	0:00:00	1:00:00
2024-01-05 13:00:00-08:00	2024-01-05 14:00:00-08:00	0.487	0.08082739	0:00:00	1:00:00
2024-01-05 14:00:00-08:00	2024-01-05 15:00:00-08:00	1.452	0.24098844	0:00:00	1:00:00
2024-01-05 15:00:00-08:00	2024-01-05 16:00:00-08:00	3.396	0.56363412	0:00:00	1:00:00
2024-01-05 16:00:00-08:00	2024-01-05 17:00:00-08:00	5.156	0.85574132	0:00:00	1:00:00
2024-01-05 17:00:00-08:00	2024-01-05 18:00:00-08:00	7.636	1.26734692	0:00:00	1:00:00
2024-01-05 18:00:00-08:00	2024-01-05 19:00:00-08:00	1.403	0.23285591	0:00:00	1:00:00
2024-01-05 19:00:00-08:00	2024-01-05 20:00:00-08:00	3.844	0.63798868	0:00:00	1:00:00
2024-01-05 20:00:00-08:00	2024-01-05 21:00:00-08:00	1.403	0.23285591	0:00:00	1:00:00
2024-01-05 21:00:00-08:00	2024-01-05 22:00:00-08:00	1.803	0.29924391	0:00:00	1:00:00
